"REF_DATE","GEO","DGUID","Fuel type","Supply and demand characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","British Columbia","2016A000259","Crude oil","Production","Terajoules","283","units","0","v54274253","12.4.1","243598","","","","0"
"1995","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","757267","","","","0"
"1996","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","757923","","","","0"
"1997","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","801384","","","","0"
"1998","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","850522","","","","0"
"1999","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","858553","","","","0"
"2000","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","879663","","","","0"
"2001","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1007679","","","","0"
"2002","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1106631","","","","0"
"2003","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1051726","","","","0"
"2004","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1095798","","","","0"
"2005","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1150601","","","","0"
"2006","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1158704","","","","0"
"2007","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1097017","","","","0"
"2008","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1110172","","","","0"
"2009","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1154460","","","","0"
"2010","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1275463","","","","0"
"2011","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1511116","","","","0"
"2012","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1362379","","","","0"
"2013","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1470223","","","","0"
"2014","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1510885","","","","0"
"2015","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1559925","","","","0"
"2016","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1738027","","","","0"
"2017","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1674514","","","","0"
