Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Trinidad and Tobago,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.95,2.09,2.03,2.89,3.39,3.4,3.37,3.29,3.38,2.59,3.05,3.59,2.73,3.1,2.65,2.74,2.48,2.56,2.01,1.87,1.78,1.78,1.65,1.53,1.38,1.19,1.27,1.23,1.71
Slovenia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.94,1.75,1.65,1.62,1.69,1.67,1.68,1.72,1.88,1.9,2.23,2.29,2.56,2.38,2.22,2.15,1.85,2.11,2.37,1.99,1.81,1.93,1.86,1.84,1.97,1.75,1.84,2.3,2.62
Tanzania,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.93,1.83,1.3,1.56,1.44,0.99,0.8,0.81,0.44,0.4,0.42,0.45,0.46,0.45,0.4,0.38,0.39,0.4,0.47,0.46,0.41,0.34,0.37,0.37,0.39,0.4,0.35,0.35,0.34
Tajikistan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.91,1.53,0.94,0.06,0.05,0.07,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papua New Guinea,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.87,1.78,1.74,1.43,1.33,1.28,1.21,1.46,1.46,1.43,1.4,1.47,1.4,1.39,1.38,1.15,1.06,1.06,0.98,0.69,0.63,0.61,0.62,0.59,0.56,0.26,0.27,0.27,0.27
Panama,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.86,1.85,1.97,2.27,2.5,2.49,2.52,2.02,1.77,1.68,1.21,1.62,1.65,1.86,0.78,0.21,0.67,1.09,0.91,0.83,0.86,0.8,0.93,0.82,0.75,0.69,0.65,0.62,0.51
Georgia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.79,1.7,1.54,1.64,1.62,1.72,1.08,1.03,0.58,0.64,0.63,0.49,0.43,0.3,0.26,0.36,0.27,0.33,0.66,0.65,0.77,0.94,1.21,0.92,2.14,3.13,4.04,6.8,7.39
Lesotho,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.74,1.66,1.65,1.65,1.78,1.77,1.73,1.68,1.64,1.59,1.56,1.53,1.51,1.48,1.46,1.43,1.41,1.39,1.37,1.35,1.33,1.31,1.28,1.26,1.23,1.19,1.16,1.11,1.06
Jordan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.62,1.64,2.16,1.84,2.36,1.9,2.18,2.08,2.3,2.66,2.61,2.96,3.0,2.95,2.6,2.14,2.08,2.06,2.17,1.99,1.99,1.85,1.75,1.74,1.65,1.29,1.3,1.15,1.3
Zambia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.51,1.62,1.54,1.54,1.49,1.43,1.5,0.98,0.72,0.75,0.74,0.66,0.68,0.83,0.73,0.79,0.74,0.71,0.67,0.69,0.96,1.01,0.66,0.78,0.87,1.33,1.37,1.35,1.29
Sudan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.48,1.58,1.69,1.48,1.44,1.38,1.88,2.02,3.48,2.61,1.58,1.78,1.53,0.97,0.59,0.5,0.45,0.45,0.54,0.63,0.41,0.54,0.16,0.44,0.77,0.0,0.64,0.85,0.68
Angola,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.41,1.39,2.49,2.22,1.49,1.63,2.23,2.44,2.35,2.19,2.09,2.27,1.96,1.72,2.1,1.83,1.78,1.62,1.57,1.48,1.3,1.74,1.89,1.8,1.63,2.19,1.71,1.63,1.77
El Salvador,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.41,1.28,1.19,0.95,1.05,0.85,1.3,1.04,0.89,0.79,1.23,1.54,1.33,1.28,1.33,1.17,1.16,1.11,1.06,1.04,1.01,0.93,0.69,0.8,0.78,0.73,0.73,0.55,0.5
Azerbaijan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.32,1.75,2.79,2.32,2.3,2.2,2.18,1.73,1.44,1.75,2.65,2.28,1.62,1.69,1.89,2.38,3.01,2.2,2.67,2.59,2.13,3.93,4.43,8.57,6.9,7.17,9.14,17.02,16.28
Lithuania,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.23,1.16,1.14,1.17,1.3,1.4,1.46,1.36,1.27,1.17,1.46,1.61,1.61,1.49,1.22,1.13,1.11,1.04,1.08,1.18,1.52,1.55,1.53,1.74,2.03,1.98,3.03,6.18,6.13
Albania,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.22,1.07,0.61,0.68,0.92,0.58,0.64,1.11,1.04,0.78,0.5,0.64,0.68,0.45,0.55,0.5,0.43,0.54,0.47,0.49,0.4,0.24,0.46,0.49,0.46,0.54,0.76,1.41,2.14
Kyrgyzstan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.19,0.86,0.9,1.82,1.4,0.74,1.52,0.57,0.65,0.43,1.05,0.97,0.73,0.74,1.59,1.68,1.49,0.62,0.84,1.15,1.17,1.06,1.01,0.56,2.65,2.92,3.39,7.56,8.45
Zimbabwe,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.19,1.12,1.09,1.09,1.07,1.05,1.96,1.49,1.24,0.64,1.35,2.28,2.1,1.63,1.56,2.04,2.28,2.58,2.97,3.1,2.39,2.28,2.5,2.63,2.4,3.87,4.6,4.99,4.74
Lebanon,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.16,1.15,1.08,1.19,1.19,0.99,1.12,1.15,0.82,1.13,0.95,0.52,0.78,1.81,1.83,1.53,1.12,1.72,1.19,1.48,0.98,1.37,1.07,1.39,1.0,0.6,0.34,0.56,0.33
Senegal,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.14,0.97,1.73,1.64,1.44,1.1,1.1,1.23,0.91,0.94,0.87,0.85,0.59,0.78,0.92,0.59,0.72,0.66,0.5,0.59,0.48,0.38,0.34,0.35,0.3,0.27,0.27,0.24,0.24
Honduras,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.13,1.23,1.43,1.32,1.76,2.11,2.18,1.98,1.92,1.74,1.84,1.88,1.98,1.7,1.73,1.44,1.2,1.2,1.05,1.01,0.78,0.71,0.92,0.75,0.78,0.76,0.78,0.76,0.76
Mauritania,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.11,1.05,0.67,0.69,0.52,0.4,0.51,0.47,0.39,0.36,0.33,0.21,0.2,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.11,0.11,0.1,0.12,0.12,0.12,0.12,0.12
Uganda,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.11,1.05,0.93,0.95,0.78,0.7,0.59,0.63,0.62,0.57,0.56,0.64,0.51,0.5,0.35,0.34,0.3,0.23,0.25,0.26,0.24,0.21,0.19,0.18,0.14,0.16,0.14,0.14,0.14
Costa Rica,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.1,1.17,1.1,1.03,1.04,1.05,1.1,1.12,1.03,1.03,1.16,1.21,1.0,0.97,0.93,0.96,0.73,0.9,0.86,0.8,0.76,0.7,0.65,0.67,0.65,0.57,0.55,0.65,0.68
Moldova,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.08,0.96,0.78,0.77,0.9,0.79,1.06,1.04,0.95,0.59,0.69,0.86,0.74,1.01,0.65,0.56,0.52,0.5,0.5,0.46,0.61,0.73,0.7,0.99,1.0,1.25,1.2,2.17,2.05
Yemen,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.08,1.02,1.01,1.28,3.39,3.42,2.27,2.62,3.03,3.09,3.21,2.89,2.63,2.69,2.52,2.38,1.49,1.26,1.14,0.98,0.84,0.72,0.62,0.53,0.0,0.0,0.0,0.0,0.0
Côte d'Ivoire,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.99,1.38,0.72,1.32,1.31,1.26,1.0,0.92,0.97,1.06,0.56,0.42,0.53,0.38,0.54,0.52,0.68,0.73,0.75,0.76,0.51,0.61,0.52,0.45,0.43,0.43,0.42,0.42,0.4
Luxembourg,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.96,0.94,0.97,0.96,0.98,0.96,1.02,1.05,1.12,1.03,1.21,1.27,1.36,1.27,1.29,1.14,1.25,1.45,1.31,1.55,1.49,2.14,2.54,2.57,4.0,4.5,4.22,4.66,5.08
Macedonia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.95,0.87,1.03,1.07,1.14,1.27,1.38,1.45,1.25,0.97,1.54,1.65,1.47,1.37,0.92,1.12,0.86,0.9,1.05,0.89,1.24,0.92,1.16,0.87,0.9,1.12,1.36,1.41,1.63
Uruguay,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.87,0.82,0.88,0.81,0.83,0.72,0.64,0.65,0.58,0.65,0.7,0.65,0.59,0.63,0.61,0.59,0.56,0.63,0.71,0.8,0.82,0.8,0.68,0.5,0.49,0.54,0.59,0.58,0.56
Sri Lanka,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.85,0.7,1.62,2.96,1.0,1.01,1.13,1.01,1.02,1.03,1.08,1.14,1.17,1.19,0.84,1.19,0.89,0.86,0.81,0.99,0.99,0.8,0.74,0.49,0.63,0.65,0.6,0.37,0.4
Mozambique,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.85,0.75,0.78,0.74,0.59,0.51,0.5,0.52,0.46,0.46,0.39,0.36,0.29,0.26,0.3,0.31,0.24,0.22,0.08,0.13,0.12,0.05,0.02,0.19,0.2,0.19,0.14,0.13,0.13
Burkina Faso,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.83,0.79,0.77,0.87,0.69,0.71,0.61,0.4,0.37,0.18,0.19,0.25,0.13,0.06,0.06,0.04,0.04,0.04,0.09,0.03,0.1,0.12,0.07,0.06,0.06,0.06,0.06,0.05,0.05
Botswana,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.77,0.74,0.72,0.72,0.79,0.75,0.67,0.6,0.57,1.06,1.15,1.22,1.0,0.92,0.65,0.9,1.07,0.93,0.86,0.85,0.95,0.55,0.54,0.4,0.48,0.64,0.69,0.49,0.5
Cambodia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.72,0.66,0.67,0.23,0.2,0.27,0.23,0.21,0.2,0.17,0.15,0.15,0.14,0.13,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.03,N/A,N/A,N/A,N/A,N/A
Latvia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.71,0.62,0.64,0.75,0.85,0.89,1.07,1.04,1.14,0.87,1.1,1.19,1.17,1.12,1.11,1.09,1.05,1.0,1.03,1.18,1.32,1.42,1.24,1.37,1.43,1.58,1.58,1.84,2.56
Guinea,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.68,0.65,0.6,0.76,0.84,0.92,1.19,1.45,1.39,1.09,1.01,1.0,0.94,0.9,0.74,0.7,0.67,0.64,0.6,0.58,0.54,0.51,0.48,0.43,0.4,0.36,0.35,0.32,0.31
Estonia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.66,0.62,0.63,0.61,0.8,1.08,0.85,0.93,0.76,0.78,1.22,1.34,1.04,1.05,0.98,0.94,0.78,1.09,0.91,0.84,1.29,1.47,1.85,1.79,1.56,1.82,1.95,3.1,4.29
Laos,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.63,0.56,0.53,1.62,1.26,1.41,1.01,1.03,0.89,0.64,0.54,0.4,0.41,0.15,0.14,0.12,0.12,0.09,0.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guyana,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.62,0.59,0.6,0.49,0.51,0.46,0.5,0.36,0.31,0.21,0.41,0.4,0.27,0.38,0.36,0.34,0.64,0.65,0.66,0.69,0.72,0.7,0.63,0.63,0.57,0.47,0.47,0.5,0.51
Haiti,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.62,0.61,0.6,0.6,0.68,0.48,0.36,0.55,0.53,0.46,0.51,0.51,0.39,0.38,0.36,0.43,0.45,0.25,0.25,0.35,0.31,0.25,0.16,0.14,0.02,0.13,0.23,0.22,0.18
Nicaragua,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.62,0.63,0.61,0.58,0.53,0.51,0.52,0.5,0.5,0.46,0.68,0.7,0.71,0.69,0.77,0.69,0.52,0.43,0.38,0.39,0.34,0.34,0.29,0.28,0.31,0.24,0.26,0.24,0.32
Iceland,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.6,0.57,0.56,0.52,0.6,0.55,0.5,0.47,0.49,0.51,0.62,0.7,0.75,0.83,0.85,0.77,0.82,0.79,0.77,0.58,0.63,0.64,0.64,0.52,0.56,0.48,0.47,0.48,0.55
Cyprus,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.56,0.62,0.6,0.61,0.68,0.53,0.46,0.56,0.67,0.76,0.88,0.9,0.88,1.0,1.39,1.36,1.32,1.33,1.39,1.35,1.32,1.28,1.36,1.23,1.21,1.18,1.12,1.29,0.8
Gabon,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.5,0.49,1.23,1.17,1.19,1.22,1.1,1.03,0.91,0.77,0.68,0.52,0.63,0.54,0.34,0.36,0.34,0.53,0.52,0.49,0.53,0.51,0.46,0.45,0.41,0.31,0.27,0.2,0.14
Madagascar,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.49,0.54,0.53,0.62,0.6,0.57,0.52,0.32,0.32,0.28,0.3,0.27,0.28,0.33,0.27,0.25,0.21,0.32,0.25,0.27,0.28,0.25,0.25,0.2,0.0,0.0,0.01,0.01,0.01
Armenia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.46,0.45,0.4,0.41,0.57,0.66,0.67,0.6,0.52,0.96,1.34,1.17,1.44,1.36,1.1,0.99,0.8,0.8,0.72,1.03,0.97,0.85,0.45,0.51,0.64,2.0,1.38,3.99,3.81
Brunei,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.37,0.42,0.32,0.42,0.34,0.42,0.54,0.47,0.43,0.97,1.93,1.85,1.9,0.12,0.12,0.13,0.13,0.12,0.14,0.17,0.2,0.27,0.23,0.2,0.19,0.17,0.17,0.14,0.13
Bhutan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.37,0.35,0.29,0.2,0.23,0.18,0.13,0.09,0.07,0.05,0.1,0.07,0.08,0.09,0.02,0.1,0.16,0.13,0.16,0.16,0.17,0.17,0.09,0.07,0.06,0.04,0.07,0.04,0.04
Mauritius,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.32,0.33,0.33,0.34,0.33,0.32,0.33,0.34,0.35,0.36,0.44,0.41,0.41,0.35,0.36,0.39,0.38,0.39,0.36,0.32,0.27,0.25,0.25,0.24,0.24,0.27,0.2,0.19,0.17
Namibia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.31,0.31,0.31,0.31,0.29,0.28,0.26,0.25,0.24,0.22,0.22,0.22,0.21,0.19,0.22,0.21,0.19,0.23,0.16,0.16,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,N/A
Fiji,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.29,0.28,0.28,0.25,0.19,0.2,0.21,0.22,0.23,0.24,0.23,0.31,0.27,0.27,0.37,0.17,0.13,0.15,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.09
Eswatini,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.27,0.26,0.32,0.17,0.13,0.21,0.16,0.16,0.15,0.16,0.2,0.19,0.18,0.18,0.19,0.19,0.27,0.32,0.26,0.45,0.41,0.41,0.28,0.34,0.34,0.08,0.07,0.12,0.12
Mali,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.25,0.2,0.44,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cameroon,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.24,0.23,0.23,0.22,0.43,0.41,0.39,0.37,0.36,0.38,0.31,0.29,0.23,0.18,0.2,0.2,0.21,0.19,0.19,0.17,0.15,0.16,0.15,0.16,0.14,0.15,0.14,0.15,0.17
Niger,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.24,0.21,0.2,0.2,0.28,0.25,0.3,0.21,0.21,0.16,0.11,0.09,0.07,0.06,0.07,0.07,0.05,0.05,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paraguay,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.22,0.18,0.19,0.33,0.18,0.12,0.25,0.14,0.15,0.1,0.1,0.08,0.18,0.23,0.2,0.16,0.24,0.24,0.26,0.28,0.3,0.29,0.28,0.26,0.33,0.14,0.25,0.19,0.15
Montenegro,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.2,0.21,0.17,0.18,0.18,0.19,0.12,0.1,0.12,0.26,0.52,0.45,0.34,0.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bahamas,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.19,0.18,0.21,0.25,0.31,0.42,0.43,0.19,0.13,0.1,0.04,0.1,0.1,0.23,0.39,0.41,0.45,0.45,0.53,0.55,0.57,0.22,0.55,0.58,0.57,0.58,0.7,0.54,0.54
Malawi,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.16,0.15,0.15,0.16,0.14,0.14,0.13,0.16,0.1,0.07,0.07,0.09,0.09,0.09,0.09,0.08,0.14,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.17
Gambia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.15,0.14,0.14,0.14,0.14,0.09,0.11,0.09,0.09,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.12,0.33,0.4,0.4,0.46,0.25,0.16,0.17,0.15,0.15,0.12,0.13,0.13,0.14,0.15,0.14,0.15,0.15,0.16,0.16,0.14,0.18,0.15,0.03,0.02,0.03,0.03,0.02,0.03
Republic of Congo,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.11,0.11,0.09,0.12,0.07,0.1,0.12,0.04,0.03,0.06,0.07,0.03,0.03,0.02,0.02,0.04,0.01,0.01,0.0,0.0,0.0,0.02,0.03,0.03,0.03,0.04,0.05,0.06,0.04
Sierra Leone,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.11,0.1,0.1,0.1,0.12,0.09,0.06,0.05,0.07,0.04,0.01,0.02,0.04,0.02,0.08,0.07,0.08,0.04,0.04,0.02,0.02,0.02,0.05,0.03,0.06,0.06,0.06,0.09,0.08
Togo,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.11,0.03,0.12,0.03,0.29,0.27,0.15,0.2,0.23,0.15,0.07,0.04,0.08,0.09,0.17,0.15,0.2,0.21,0.26,0.3,0.12,0.1,0.16,0.07,0.11,0.0,0.01,0.06,0.03
Liberia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.1,0.1,0.11,0.09,0.1,0.05,0.1,0.06,0.04,0.01,0.02,0.03,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06
Barbados,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.06,0.06,0.05,0.05,0.07,0.06,0.09,0.06,0.07,0.19,0.07,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.08,0.09
Suriname,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.06,0.06,0.06,0.07,0.07,0.06,0.08,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.68,0.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Belize,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.05,0.05,0.06,0.05,0.05,0.05,0.08,0.05,0.13,0.27,0.09,0.13,0.15,0.08,0.07,0.11,0.17,0.15,0.08,0.04,0.03,0.04,0.03,0.05,0.04,0.03,0.03,0.05,0.04
Maldives,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.05,0.04,0.05,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0
Democratic Republic of the Congo,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.04,0.05,0.07,0.05,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.11,0.1,0.07,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87
Malta,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.04,0.05,0.06,0.06,0.06,0.05,0.03,0.02,0.03,0.02,0.04,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Sudan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.04,0.05,0.03,0.03,0.01,0.01,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Djibouti,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.03,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Sao Tome and Principe,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Central African Republic,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Eritrea,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.05,0.04,0.02,N/A,N/A
Solomon Islands,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Dominica,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
Saint Kitts and Nevis,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.02,0.02,0.02,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03
Cook Islands,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0
Micronesia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.02,0.02
Kiribati,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
